非即时对局，在发出请求后，对方如果在三天内没有响应，对局邀请自动关闭。	For non-real-time games, after the request is made, if the opponent does not respond within three days, the game request will be automatically closed.
如果上传的题目已经存在题库中，系统会使用旧的题目，不用担心重复上传	If the uploaded problem already exists in the problem library, the system will use the old problem, so you don’t have to worry about uploading it again.
棋友解答由分享人判定，并由分享人分派奖励给其中一位棋友。	The players’ answers are judged by the sharer, and the sharer distributes a reward to one of the players.
由于错题详细统计和错题重做功能消耗系统资源较多，需要	Because detailed mistake statistics consumes a lot of resources, it is necessary to
设置每道题目的做题次数，达到这个次数没有做对则判错	Set the number of attempts for each problem. If this number is reached, it will be judged wrong.
约定时间的对局，在对局开始前没有响应则自动关闭。	The game at the appointed time will be automatically closed if there is no response before the game starts.
银卡以上会员将会统计会员在每本棋书中的做题数量/正确率信息。	Silver card members or above get correct-rate statistics for each book.
打开题目，思考一段时间才能落子（只对会员有效）	You can think for a while before deciding (only possible for members)
每道题目的做题次数，达到这个次数没有做对则判错	The number of attempts for each problem. If this number is reached, it will be judged wrong.
棋友完成棋书作业后，将在此显示本书做题数据统计	After Go players complete their book homework, the statistics of the book's problem solving data will be displayed here
购买一年以上会员，将获得自己的专属推荐码。	If you purchase a membership for more than one year, you will get your own exclusive referral code.
上传之后，需要对每一道新题目设定大概级别,题目的类型，确认无误，点击保存	After uploading, you need to set the approximate level and type of question for each new question, confirm it is correct, and click Save
此邮箱将接受激活邮件完成账号激活流程	This email address will receive an activation email to complete the account activation process
可同时输入多个数字编号，以空格分隔	Multiple numbers can be entered at the same time, separated by spaces
不选择，则依靠棋友当前级别自动筛选	If you don’t choose, it will be automatically selected based on the current player level
你的用户名和密码不符，请再试一次	Your username and password do not match; please try again
一次生成的题目数量，最多不超过50道。	You cannot generate more than 50 problems at once.
限制时间的对局邀请，对方如果在10分钟内没有响应，对局邀请自动关闭。	For a time-limited game request, if the opponent does not respond within 10 minutes, the game request will be automatically closed.
放到数据库之后，不会立即更新到101围棋题库里面，经过棋友的打分审核通过之后，才会进入题库	After being placed in the library, it will not be immediately updated to the 101weiqi problem library, but needs to pass a review by Go players first.
